intestine,cell_type,week,mouse,yfp
small,CD4- Tim4-,0.7,0,0.461
small,CD4- Tim4-,0.7,1,0.6659999999999999
small,CD4- Tim4-,0.7,2,0.826
small,CD4- Tim4-,0.7,3,0.36700000000000005
small,CD4- Tim4-,7.0,4,0.159
small,CD4- Tim4-,7.0,5,0.136
small,CD4- Tim4-,7.0,6,0.121
small,CD4- Tim4-,7.0,7,0.142
small,CD4- Tim4-,7.0,8,0.18100000000000002
small,CD4- Tim4-,12.0,9,0.121
small,CD4- Tim4-,12.0,10,0.07690000000000001
small,CD4- Tim4-,12.0,11,0.145
small,CD4- Tim4-,12.0,12,0.145
small,CD4- Tim4-,20.0,13,0.047
small,CD4- Tim4-,20.0,14,0.0368
small,CD4- Tim4-,20.0,16,0.06570000000000001
small,CD4- Tim4-,20.0,17,0.05
small,CD4- Tim4-,20.0,18,0.0732
small,CD4+ Tim4-,0.7,0,0.5589999999999999
small,CD4+ Tim4-,0.7,1,0.7879999999999999
small,CD4+ Tim4-,0.7,2,0.9309999999999999
small,CD4+ Tim4-,0.7,3,0.436
small,CD4+ Tim4-,7.0,4,0.29600000000000004
small,CD4+ Tim4-,7.0,5,0.317
small,CD4+ Tim4-,7.0,6,0.254
small,CD4+ Tim4-,7.0,7,0.298
small,CD4+ Tim4-,7.0,8,0.34700000000000003
small,CD4+ Tim4-,12.0,9,0.22
small,CD4+ Tim4-,12.0,10,0.10300000000000001
small,CD4+ Tim4-,12.0,11,0.228
small,CD4+ Tim4-,12.0,12,0.266
small,CD4+ Tim4-,20.0,13,0.11900000000000001
small,CD4+ Tim4-,20.0,14,0.0646
small,CD4+ Tim4-,20.0,16,0.17
small,CD4+ Tim4-,20.0,17,0.134
small,CD4+ Tim4-,20.0,18,0.127
small,CD4+ Tim4+,0.7,0,0.6829999999999999
small,CD4+ Tim4+,0.7,1,0.85
small,CD4+ Tim4+,0.7,2,0.917
small,CD4+ Tim4+,0.7,3,0.517
small,CD4+ Tim4+,7.0,4,0.594
small,CD4+ Tim4+,7.0,5,0.773
small,CD4+ Tim4+,7.0,6,0.725
small,CD4+ Tim4+,7.0,7,0.59
small,CD4+ Tim4+,7.0,8,0.649
small,CD4+ Tim4+,12.0,9,0.725
small,CD4+ Tim4+,12.0,10,0.532
small,CD4+ Tim4+,12.0,11,0.51
small,CD4+ Tim4+,12.0,12,0.536
small,CD4+ Tim4+,20.0,13,0.48100000000000004
small,CD4+ Tim4+,20.0,14,0.419
small,CD4+ Tim4+,20.0,16,0.524
small,CD4+ Tim4+,20.0,17,0.51
small,CD4+ Tim4+,20.0,18,0.525
